CustomerID,Lookalikes
C0001,"[('C0091', 0.9416), ('C0096', 0.9406), ('C0048', 0.9362)]"
C0002,"[('C0134', 0.9815), ('C0106', 0.9698), ('C0159', 0.9689)]"
C0003,"[('C0031', 1.0), ('C0158', 1.0), ('C0195', 0.9771)]"
C0004,"[('C0113', 0.9718), ('C0012', 0.9524), ('C0148', 0.9471)]"
C0005,"[('C0007', 1.0), ('C0146', 0.9572), ('C0140', 0.9543)]"
C0006,"[('C0187', 0.9496), ('C0071', 0.9494), ('C0147', 0.9419)]"
C0007,"[('C0005', 1.0), ('C0146', 0.9572), ('C0140', 0.9543)]"
C0008,"[('C0059', 0.982), ('C0154', 0.965), ('C0189', 0.9474)]"
C0009,"[('C0198', 0.9482), ('C0010', 0.8909), ('C0061', 0.8867)]"
C0010,"[('C0061', 0.9809), ('C0009', 0.8909), ('C0062', 0.8396)]"
C0011,"[('C0126', 0.9904), ('C0153', 0.944), ('C0191', 0.9332)]"
C0012,"[('C0152', 0.989), ('C0104', 0.9875), ('C0052', 0.9778)]"
C0013,"[('C0107', 0.9833), ('C0184', 0.9318), ('C0192', 0.9216)]"
C0014,"[('C0060', 1.0), ('C0089', 0.9439), ('C0196', 0.8724)]"
C0015,"[('C0131', 0.9619), ('C0036', 0.9376), ('C0185', 0.9376)]"
C0016,"[('C0183', 1.0), ('C0029', 0.9666), ('C0049', 0.9607)]"
C0017,"[('C0075', 0.9856), ('C0041', 0.98), ('C0081', 0.9701)]"
C0018,"[('C0035', 0.9715), ('C0122', 0.9323), ('C0194', 0.9323)]"
C0019,"[('C0070', 0.9813), ('C0023', 0.9546), ('C0064', 0.9063)]"
C0020,"[('C0050', 0.9079), ('C0035', 0.8246), ('C0033', 0.8225)]"
